# theta(rad),x,y,Cp
0.0000,1.2000,0.0000,1.0000
0.1795,1.1807,0.2143,0.8725
0.3590,1.1235,0.4216,0.5061
0.5386,1.0301,0.6155,-0.0523
0.7181,0.9037,0.7895,-0.7315
0.8976,0.7482,0.9382,-1.4450
1.0771,0.5686,1.0567,-2.1018
1.2566,0.3708,1.1413,-2.6180
1.4362,0.1611,1.1891,-2.9279
1.6157,-0.0538,1.1988,-2.9919
1.7952,-0.2670,1.1699,-2.8019
1.9747,-0.4716,1.1034,-2.3821
2.1542,-0.6611,1.0015,-1.7861
2.3338,-0.8293,0.8674,-1.0897
2.5133,-0.9708,0.7053,-0.3820
2.6928,-1.0812,0.5207,0.2470
2.8723,-1.1568,0.3192,0.7169
3.0518,-1.1952,0.1076,0.9679
3.2314,-1.1952,-0.1076,0.9679
3.4109,-1.1568,-0.3192,0.7169
3.5904,-1.0812,-0.5207,0.2470
3.7699,-0.9708,-0.7053,-0.3820
3.9494,-0.8293,-0.8674,-1.0897
4.1290,-0.6611,-1.0015,-1.7861
4.3085,-0.4716,-1.1034,-2.3821
4.4880,-0.2670,-1.1699,-2.8019
4.6675,-0.0538,-1.1988,-2.9919
4.8470,0.1611,-1.1891,-2.9279
5.0265,0.3708,-1.1413,-2.6180
5.2061,0.5686,-1.0567,-2.1018
5.3856,0.7482,-0.9382,-1.4450
5.5651,0.9037,-0.7895,-0.7315
5.7446,1.0301,-0.6155,-0.0523
5.9241,1.1235,-0.4216,0.5061
6.1037,1.1807,-0.2143,0.8725
6.2832,1.2000,-0.0000,1.0000
